1	0	0	0.01	1.9999999929548444
1	1	0	0.01	0.9936319138118849
1	2	0	0.01	15.915479958300718
1	3	0	0.01	379.933515454952
2	0	0	0.01	0
2	1	0	0.01	0
2	2	0	0.01	0
2	3	0	0.01	0
3	0	0	0.01	1.5707963250932988
3	1	0	0.01	0.9898854711841625
3	2	0	0.01	15.912071820826869
3	3	0	0.01	379.86479791487244
4	0	0	0.01	0
4	1	0	0.01	0
4	2	0	0.01	-1.908513307123094e-8
4	3	0	0.01	0
5	0	0	0.01	1.1780972416765492
5	1	0	0.01	0.9846654865171758
5	2	0	0.01	15.905281265281058
5	3	0	0.01	379.72751116679086
6	0	0	0.01	0
6	1	0	0.01	0
6	2	0	0.01	0
6	3	0	0.01	0
