1	0	0	0.0001	2.000000000799307
1	1	0	0.0001	0.9365489623315213
1	2	0	0.0001	1.590882019081411
1	3	0	0.0001	3.799531881059888
2	0	0	0.0001	0
2	1	0	0.0001	0
2	2	0	0.0001	0
2	3	0	0.0001	0
3	0	0	0.0001	1.570796347272763
3	1	0	0.0001	0.9049875556748406
3	2	0	0.0001	1.5836508977534196
3	3	0	0.0001	3.7931656178934374
4	0	0	0.0001	0
4	1	0	0.0001	0
4	2	0	0.0001	0
4	3	0	0.0001	0
5	0	0	0.0001	1.1780972386828108
5	1	0	0.0001	0.8640374039452514
5	2	0	0.0001	1.5706806862462441
5	3	0	0.0001	3.7806879135294813
6	0	0	0.0001	0
6	1	0	0.0001	0
6	2	0	0.0001	0
6	3	0	0.0001	0
