# m n x y lower upper expected relative_tolerance absolute_tolerance
4 1 0.99 1e-8 0.8 1 0.1396566609236589014679198 5e-9 1e-290
4 1 2 1e-8 -0.5 0.5 6.591884744201584899294161e-11 5e-9 1e-290
4 2 0.99 1e-8 0.8 1 2222705.194435264180646826 5e-9 1e-290
4 2 2 1e-8 -0.5 0.5 1.176332139775131950470654e-19 5e-9 1e-290
4 3 0.99 1e-8 0.8 1 53063177809565.33734334523 5e-9 1e-290
4 3 2 1e-8 -0.5 0.5 1.653372278095154977187343e-28 5e-9 1e-290
5 1 0.99 1e-8 0.8 1 0.002807247179572136470093351 5e-9 1e-290
5 1 2 1e-8 -0.5 0.5 7.416832835140278229082806e-10 5e-9 1e-290
5 2 0.99 1e-8 0.8 1 44678.61956493302109549978 5e-9 1e-290
5 2 2 1e-8 -0.5 0.5 6.751726592067597018594421e-19 5e-9 1e-290
5 3 0.99 1e-8 0.8 1 1066623473141.944832642617 5e-9 1e-290
5 3 2 1e-8 -0.5 0.5 6.602828759036405795689369e-28 5e-9 1e-290
6 1 0.99 1e-8 0.8 1 0.002779174146474662494037577 5e-9 1e-290
6 1 2 1e-8 -0.5 0.5 5.604930846360014956808008e-11 5e-9 1e-290
6 2 0.99 1e-8 0.8 1 44231.83336928302367631159 5e-9 1e-290
6 2 2 1e-8 -0.5 0.5 9.964100360575502376139225e-20 5e-9 1e-290
6 3 0.99 1e-8 0.8 1 1055957238410.520068524891 5e-9 1e-290
6 3 2 1e-8 -0.5 0.5 1.393358014216234727345432e-28 5e-9 1e-290
7 1 4.19 1e-16 -0.75 0.9 2.124919301128627157107212e-18 5e-9 1e-290
7 1 4.19 1e-16 4 4.4 5.635926134325744071981527e-16 5e-9 1e-290
7 2 4.19 1e-16 -0.75 0.9 4.17121592242787196493666e-36 5e-9 1e-290
7 2 4.19 1e-16 4 4.4 0.8969855031787378125932478 5e-9 1e-290
7 3 4.19 1e-16 -0.75 0.9 8.508221433911244329796914e-54 5e-9 1e-290
7 3 4.19 1e-16 4 4.4 2141395150690006.835304713 5e-9 1e-290
8 1 4.19 1e-16 -0.75 0.9 2.229515147019185752584341e-19 5e-9 1e-290
8 1 4.19 1e-16 4 4.4 2.361453050282486791090502e-15 5e-9 1e-290
8 2 4.19 1e-16 -0.75 0.9 7.611205868274143805996679e-37 5e-9 1e-290
8 2 4.19 1e-16 4 4.4 3.758369258318911785306302 5e-9 1e-290
8 3 4.19 1e-16 -0.75 0.9 2.198514723537269960153581e-54 5e-9 1e-290
8 3 4.19 1e-16 4 4.4 8972445681391129.476780769 5e-9 1e-290
7 0 0 0.1 -100000 100000 1.253314137315500251207883 5e-9 1e-290
8 0 0 0.1 -100000 100000 0.0 5e-9 1e-290
2 1 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
2 2 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
2 3 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
4 1 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
4 2 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
4 3 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
6 1 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
6 2 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
6 3 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
8 1 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
8 2 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
8 3 0 1e-8 -0.5 0.5 0.0 5e-9 1e-290
1 1 -0.5 1 0.5 0.5000000000000001 1.766974823035286933747941e-17 5e-9 1e-290
1 2 0.500000000017 1e-12 -0.5 0.5 6845972.630280561001651509 5e-9 1e-290
3 1 1 1e-20 0 1 9.999999998863379953423776e-11 5e-9 1e-290
7 0 0 0.1 -1e308 1e308 1.253314137315500251207883 5e-9 1e-290
5 2 1 1e-300 0 1 1.591549430918953377630229e-151 5e-9 1e-290
7 2 20 1e-300 19 21 5.83760370713009062171997e-49 5e-9 1e-290
2 3 1e-120 1e-100 -0.5 0.5 3.799544386587666195941276e+78 5e-9 1e-290
1 2 -4.097e-197 1e-200 0 1 4.911126004947295544094938e+187 5e-9 1e-290
1 2 0.500000000001 1e-16 -0.5 0.5 337.7596897348746306537451 5e-9 1e-290
2 1 1.7e21 1e20 -0.5 0.5 1.072387646675473923135562e-45 5e-9 1e-290
