1	0	0	0.1	2.000000000799306
1	1	0	0.1	0.6976853289866101
1	2	0	0.1	0.3033274700660257
1	3	0	0.1	0.15048247412441274
2	0	0	0.1	0
2	1	0	0.1	0.0002581269550273908
2	2	0	0.1	0.00024572288239567213
2	3	0	0.1	0.0002054049607490476
3	0	0	0.1	1.5707963472727626
3	1	0	0.1	0.6063140577917643
3	2	0	0.1	0.2785737546648625
3	3	0	0.1	0.14201509587574523
4	0	0	0.1	0
4	1	0	0.1	0.00021827500040384745
4	2	0	0.1	0.0002167200317866324
4	3	0	0.1	0.00018259463582877814
5	0	0	0.1	1.1780972386828106
5	1	0	0.1	0.506634071294574
5	2	0	0.1	0.24691120460598945
5	3	0	0.1	0.1298341224064941
6	0	0	0.1	0
6	1	0	0.1	0.0001668513715903638
6	2	0	0.1	0.0001745312621927233
6	3	0	0.1	0.00014954128919878192
