1	0	0	1.e-6	2.000000000799308
1	1	0	1.e-6	0.9365489643858882
1	2	0	1.e-6	1.5908820184421004
1	3	0	1.e-6	3.799531890746272
2	0	0	1.e-6	0
2	1	0	1.e-6	0
2	2	0	1.e-6	0
2	3	0	1.e-6	0
3	0	0	1.e-6	1.5707963472727637
3	1	0	1.e-6	0.9049875656329462
3	2	0	1.e-6	1.5836509235395098
3	3	0	1.e-6	3.793165686163157
4	0	0	1.e-6	0
4	1	0	1.e-6	0
4	2	0	1.e-6	0
4	3	0	1.e-6	0
5	0	0	1.e-6	1.1780972386828106
5	1	0	1.e-6	0.8640374381787005
5	2	0	1.e-6	1.5706807628079604
5	3	0	1.e-6	3.7806881093158577
6	0	0	1.e-6	0
6	1	0	1.e-6	0
6	2	0	1.e-6	0
6	3	0	1.e-6	0
